Date,Year,Month,Hour Ending,Electricity Price
2009-07-05 00:00:00,2009,7,20,23.4
2009-07-05 00:00:00,2009,7,21,22.48
2009-07-05 00:00:00,2009,7,22,24.22
2009-07-05 00:00:00,2009,7,23,22.97
2009-07-05 00:00:00,2009,7,24,-0.58
2009-07-06 00:00:00,2009,7,1,2.2
2009-07-06 00:00:00,2009,7,2,16
2009-07-06 00:00:00,2009,7,3,0.07
2009-07-06 00:00:00,2009,7,4,-30.17
2009-07-06 00:00:00,2009,7,5,4.76
2009-07-06 00:00:00,2009,7,6,20.49
2009-07-06 00:00:00,2009,7,7,-4.6
2009-07-06 00:00:00,2009,7,8,-6.96
2009-07-06 00:00:00,2009,7,9,-6.29
2009-07-06 00:00:00,2009,7,10,14.89
2009-07-06 00:00:00,2009,7,11,19.28
2009-07-06 00:00:00,2009,7,12,20.95
2009-07-06 00:00:00,2009,7,13,19.94
2009-07-06 00:00:00,2009,7,14,22.78
2009-07-06 00:00:00,2009,7,15,23.56
2009-07-06 00:00:00,2009,7,16,26.29
2009-07-06 00:00:00,2009,7,17,25.28
2009-07-06 00:00:00,2009,7,18,22.77
2009-07-06 00:00:00,2009,7,19,20.96
2009-07-06 00:00:00,2009,7,20,19.63
2009-07-06 00:00:00,2009,7,21,21.29
2009-07-06 00:00:00,2009,7,22,21.39
2009-07-06 00:00:00,2009,7,23,20.84
2009-07-06 00:00:00,2009,7,24,10.39
2009-07-07 00:00:00,2009,7,1,-14.78
2009-07-07 00:00:00,2009,7,2,-5.82
2009-07-07 00:00:00,2009,7,3,-1.16
2009-07-07 00:00:00,2009,7,4,10.59
2009-07-07 00:00:00,2009,7,5,22.96
2009-07-07 00:00:00,2009,7,6,16.96
2009-07-07 00:00:00,2009,7,7,-9.67
2009-07-07 00:00:00,2009,7,8,8.16
2009-07-07 00:00:00,2009,7,9,22.78
2009-07-07 00:00:00,2009,7,10,20.87
2009-07-07 00:00:00,2009,7,11,27.1
2009-07-07 00:00:00,2009,7,12,24.69
2009-07-07 00:00:00,2009,7,13,22.07
2009-07-07 00:00:00,2009,7,14,24.01
2009-07-07 00:00:00,2009,7,15,26.76
2009-07-07 00:00:00,2009,7,16,26.82
2009-07-07 00:00:00,2009,7,17,25.21
2009-07-07 00:00:00,2009,7,18,24.69
2009-07-07 00:00:00,2009,7,19,23.28
2009-07-07 00:00:00,2009,7,20,20.24
2009-07-07 00:00:00,2009,7,21,19.75
2009-07-07 00:00:00,2009,7,22,21.8
2009-07-07 00:00:00,2009,7,23,23.06
2009-07-07 00:00:00,2009,7,24,18.73
2009-07-08 00:00:00,2009,7,1,2.93
2009-07-08 00:00:00,2009,7,2,12.2
2009-07-08 00:00:00,2009,7,3,-19.55
2009-07-08 00:00:00,2009,7,4,-29.95
2009-07-08 00:00:00,2009,7,5,-7.02
2009-07-08 00:00:00,2009,7,6,20.95
2009-07-08 00:00:00,2009,7,7,3.56
2009-07-08 00:00:00,2009,7,8,5.65
2009-07-08 00:00:00,2009,7,9,-3.31
2009-07-08 00:00:00,2009,7,10,19.75
2009-07-08 00:00:00,2009,7,11,22.52
2009-07-08 00:00:00,2009,7,12,21.94
2009-07-08 00:00:00,2009,7,13,22.48
2009-07-08 00:00:00,2009,7,14,24.54
2009-07-08 00:00:00,2009,7,15,24.3
2009-07-08 00:00:00,2009,7,16,27.65
2009-07-08 00:00:00,2009,7,17,23.95
2009-07-08 00:00:00,2009,7,18,22.67
2009-07-08 00:00:00,2009,7,19,21.69
2009-07-08 00:00:00,2009,7,20,20.17
2009-07-08 00:00:00,2009,7,21,19.6
2009-07-08 00:00:00,2009,7,22,21.46
2009-07-08 00:00:00,2009,7,23,4.34
2009-07-08 00:00:00,2009,7,24,-13.97
2009-07-09 00:00:00,2009,7,1,8.62
2009-07-09 00:00:00,2009,7,2,22.05
2009-07-09 00:00:00,2009,7,3,21.57
2009-07-09 00:00:00,2009,7,4,17.95
2009-07-09 00:00:00,2009,7,5,17.56
2009-07-09 00:00:00,2009,7,6,22.49
2009-07-09 00:00:00,2009,7,7,18.07
2009-07-09 00:00:00,2009,7,8,19.2
2009-07-09 00:00:00,2009,7,9,19.91
2009-07-09 00:00:00,2009,7,10,23.31
2009-07-09 00:00:00,2009,7,11,22.61
2009-07-09 00:00:00,2009,7,12,24.73
2009-07-09 00:00:00,2009,7,13,24.15
2009-07-09 00:00:00,2009,7,14,24.9
2009-07-09 00:00:00,2009,7,15,25.63
2009-07-09 00:00:00,2009,7,16,25.89
2009-07-09 00:00:00,2009,7,17,27.74
2009-07-09 00:00:00,2009,7,18,25.88
2009-07-09 00:00:00,2009,7,19,25.03
2009-07-09 00:00:00,2009,7,20,25.71
2009-07-09 00:00:00,2009,7,21,25.82
2009-07-09 00:00:00,2009,7,22,25.57
2009-07-09 00:00:00,2009,7,23,19.66
2009-07-09 00:00:00,2009,7,24,20.67
2009-07-10 00:00:00,2009,7,1,22.93
2009-07-10 00:00:00,2009,7,2,23.51
2009-07-10 00:00:00,2009,7,3,22.97
2009-07-10 00:00:00,2009,7,4,20.1
2009-07-10 00:00:00,2009,7,5,-7.64
2009-07-10 00:00:00,2009,7,6,14.88
2009-07-10 00:00:00,2009,7,7,-3.11
2009-07-10 00:00:00,2009,7,8,17.58
2009-07-10 00:00:00,2009,7,9,19.69
2009-07-10 00:00:00,2009,7,10,17.83
2009-07-10 00:00:00,2009,7,11,23.75
2009-07-10 00:00:00,2009,7,12,25.61
2009-07-10 00:00:00,2009,7,13,77.99
2009-07-10 00:00:00,2009,7,14,33.2
2009-07-10 00:00:00,2009,7,15,31.6
2009-07-10 00:00:00,2009,7,16,280.85
2009-07-10 00:00:00,2009,7,17,179.33
2009-07-10 00:00:00,2009,7,18,26.95
2009-07-10 00:00:00,2009,7,19,32.26
2009-07-10 00:00:00,2009,7,20,30.12
2009-07-10 00:00:00,2009,7,21,29.51
2009-07-10 00:00:00,2009,7,22,32.16
2009-07-10 00:00:00,2009,7,23,43.43
2009-07-10 00:00:00,2009,7,24,27.42
2009-07-11 00:00:00,2009,7,1,29.62
2009-07-11 00:00:00,2009,7,2,29.15
2009-07-11 00:00:00,2009,7,3,21.51
2009-07-11 00:00:00,2009,7,4,21.39
2009-07-11 00:00:00,2009,7,5,20.89
