location,date,new_cases,rollingCases
Malawi,2021-03-31,26.0,
Malawi,2021-04-01,33.0,
Malawi,2021-04-02,55.0,
Malawi,2021-04-03,8.0,
Malawi,2021-04-04,14.0,
Malawi,2021-04-05,12.0,
Malawi,2021-04-06,12.0,
Malawi,2021-04-07,33.0,
Malawi,2021-04-08,20.0,
Malawi,2021-04-09,41.0,
Malawi,2021-04-10,26.0,
Malawi,2021-04-11,22.0,
Malawi,2021-04-12,32.0,
Malawi,2021-04-13,13.0,
Malawi,2021-04-14,19.0,
Malawi,2021-04-15,11.0,
Malawi,2021-04-16,17.0,
Malawi,2021-04-17,0.0,
Malawi,2021-04-18,22.0,
Malawi,2021-04-19,18.0,
Malawi,2021-04-20,9.0,
Malawi,2021-04-21,7.0,
Malawi,2021-04-22,14.0,
Malawi,2021-04-23,0.0,
Malawi,2021-04-24,22.0,
Malawi,2021-04-25,5.0,
Malawi,2021-04-26,5.0,
Malawi,2021-04-27,10.0,
Malawi,2021-04-28,21.0,
Malawi,2021-04-29,10.0,
Malawi,2021-04-30,16.0,
Malawi,2021-05-01,17.0,
Malawi,2021-05-02,1.0,
Malawi,2021-05-03,3.0,
Malawi,2021-05-04,24.0,
Malawi,2021-05-05,20.0,
Malawi,2021-05-06,8.0,
Malawi,2021-05-07,7.0,
Malawi,2021-05-08,8.0,
Malawi,2021-05-09,5.0,
Malawi,2021-05-10,9.0,
Malawi,2021-05-11,3.0,
Malawi,2021-05-12,0.0,
Malawi,2021-05-13,17.0,
Malawi,2021-05-14,0.0,
Malawi,2021-05-15,10.0,
Malawi,2021-05-16,4.0,
Malawi,2021-05-17,2.0,
Malawi,2021-05-18,15.0,
Malawi,2021-05-19,7.0,
Malawi,2021-05-20,13.0,
Malawi,2021-05-21,10.0,
Malawi,2021-05-22,13.0,
Malawi,2021-05-23,10.0,
Malawi,2021-05-24,9.0,
Malawi,2021-05-25,2.0,
Malawi,2021-05-26,9.0,
Malawi,2021-05-27,0.0,
